Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
161436,0.455027,-0.247542,-0.04809,-1.17083,-0.804902,-0.116491,0.496968,-0.171062,-1.394132,-0.548744,1.327977,-0.579283,-1.852081,-0.088765,0.11962,-0.205388,-0.473519,0.029117,-0.952817,-2.017426,-0.622821,0.898064,0.223224,-0.442007,1.581075,-0.012185,-0.508487,-0.293274,248.64
75777,0.148545,0.339642,0.472183,0.585493,-0.217945,-0.387039,0.054477,-0.064705,0.547464,0.941081,1.873124,-0.618808,0.841934,-0.328829,-0.74714,0.716288,2.336853,0.790506,-0.296166,-0.446104,-1.729199,0.813884,-0.414408,0.161991,-0.893144,-1.589539,-0.140897,0.862042,1666.41
76029,0.948867,-1.626505,-0.108251,0.215943,0.20725,-0.642662,0.832222,0.799419,0.39749,-0.100645,0.232149,0.237545,0.545107,-1.367398,2.895758,0.236764,-0.39867,-0.819394,0.794926,0.485099,0.778094,-0.293434,0.752838,0.352185,0.807637,1.656098,-0.456893,-0.416354,2039.68
44902,1.301674,0.038991,-2.310648,-0.289259,0.897876,-0.098504,-0.434373,-0.532985,1.116764,0.070749,-0.395297,-0.404684,0.338109,0.500041,0.202899,0.256723,0.113719,0.556901,1.093343,0.127719,0.741464,0.621913,-0.908143,1.433588,-1.542396,-0.228893,1.029453,-0.559925,1862.44
170129,-0.569767,-0.738067,1.438235,-0.439673,0.383134,0.923348,1.552047,0.970852,-0.737761,1.478189,-0.053865,0.415747,0.04157,0.297274,0.016456,0.523064,1.093116,0.682713,0.24763,-0.582165,0.631342,0.858616,-0.184656,0.325373,0.687418,-0.715711,0.366147,1.264503,1085.97
168714,-0.488172,0.453605,0.341677,1.002964,-0.860274,-0.061854,-1.585648,-0.319388,0.963729,0.512739,-1.245143,0.770364,-2.691594,-0.718659,1.124706,-1.215987,0.538514,0.867225,0.349277,-0.296396,-0.04028,0.434253,-0.124758,0.001135,0.724594,-0.309002,-0.883232,-0.047438,1333.11
110585,-1.22852,1.197658,0.171941,-1.10141,-1.001326,1.231213,0.224936,-0.757329,0.185998,-0.532897,-0.535638,0.273136,-0.308164,1.451328,1.004588,-1.581781,2.727984,1.867896,-0.943432,-0.419188,-0.482271,-0.591706,-0.895622,-1.340281,0.591581,-1.138174,0.111744,0.073874,1494.37
57398,1.895902,-0.93252,-0.174028,-0.477355,1.505794,-1.061991,-0.451481,-0.285602,0.545618,-0.000747,1.224483,-1.018029,-0.280267,0.455766,-1.06398,-0.767092,-1.567222,-1.096304,-0.291178,1.036608,2.213931,-0.740317,-0.029855,3.239794,1.255599,-0.508306,-0.121209,-1.985307,94.41
3790,-0.037001,0.130551,-0.296174,1.589472,-1.693997,0.519841,-0.134569,0.771365,0.550577,-0.420787,-1.170268,1.719289,-1.53645,1.349518,-0.82163,-1.211636,-0.412492,-0.583607,0.046383,-1.022984,0.713027,1.957289,0.822059,-0.360275,-0.574258,-2.041021,1.584589,-0.455471,1715.98
13355,-1.532353,1.985517,-0.635091,-0.461749,-0.536443,-1.29276,-0.458884,0.73497,0.222329,2.852532,1.576325,0.298864,-0.856035,-2.64089,1.277233,-1.241154,-1.384541,-0.327625,-0.869066,-0.846198,1.761043,-0.237653,0.944442,-0.339813,-0.056382,2.685822,-0.71706,0.023408,1603.22
135020,0.284108,-0.435852,-0.484885,-0.573208,0.655372,0.373389,0.76885,-0.789285,-1.970437,0.913297,-1.580568,-0.191124,1.210428,1.501536,-0.275482,-0.792119,1.669965,0.135467,-0.190482,-0.713802,-1.687511,-0.666052,-0.644788,-0.095115,0.922031,-0.275678,1.98865,0.017349,1903.44
55598,-1.712205,0.015113,1.623255,0.140686,-0.580509,-0.551126,-0.167653,0.156693,0.441487,0.555087,-1.327912,-0.094995,0.920679,0.589832,1.111141,0.152479,-1.198839,-0.280334,-2.185679,0.306461,1.078717,-1.213823,0.447583,0.784364,0.440024,1.021571,-0.355442,1.84285,1928.4
163407,0.133745,-0.786512,-0.282518,-1.104069,-0.316955,0.356214,-0.041415,0.588649,0.076249,-0.289229,-0.654923,1.242215,1.998973,1.385888,0.622899,-0.733709,0.291351,0.769497,-1.478655,-0.66819,-0.744056,0.732506,-0.742782,1.102558,0.234251,-0.084246,-1.072562,-1.529815,1336.64
157427,0.16627,0.253943,-2.032562,-0.342632,1.201237,0.955471,1.036321,0.307811,-1.221782,-0.447189,0.515307,-0.290155,0.552755,1.372117,0.868385,1.605346,1.908678,-0.896212,-1.193761,0.522357,0.53174,-0.530622,-0.688631,0.818139,-1.038002,-0.219648,-0.614077,-0.663293,421.06
144546,-0.2802,-1.014819,-0.105328,1.075115,0.970449,0.782592,0.405618,-0.55849,-1.168535,0.373781,-0.983348,-1.484099,1.124136,0.620044,-0.917565,0.537096,0.286115,0.465787,-2.014406,1.138052,-0.340929,-2.268935,-0.423178,-0.113533,0.26077,-0.56385,1.026614,2.122651,1805.88
78814,0.443367,-1.2516,-0.089466,1.132362,-0.389634,0.298489,0.555035,1.459308,-0.582032,-1.501037,-2.185032,0.080146,0.623444,0.718201,0.451476,-1.314148,-1.281428,-0.701128,-1.031493,1.068317,1.09628,-1.357818,-1.028632,-0.241223,0.755794,0.125198,0.026487,0.267586,2257.08
55790,-0.831292,0.231149,1.565579,1.004883,-0.599941,0.388104,0.239678,0.980404,1.758411,0.288188,0.903571,-0.019995,-0.110154,0.734844,1.041977,-1.378991,-0.396212,0.476067,-0.329983,0.008157,-1.224611,-1.861664,2.096181,1.431289,0.157338,0.219992,1.348549,-1.214932,854.42
